feature,bin,advance_rate,correlation
onboarding_skips,"(-0.001, 3.0]",0.2794088862791153,-0.03350249007117531
quiz_answers,"(-0.001, 3.0]",0.2794088862791153,0.03435369460248341
total_events,"(6.999, 13.0]",0.0,0.35099806691886903
total_events,"(13.0, 36.0]",0.22003577817531306,0.35099806691886903
total_events,"(36.0, 46.0]",0.306841046277666,0.35099806691886903
total_events,"(46.0, 54.0]",0.31728045325779036,0.35099806691886903
total_events,"(54.0, 62.0]",0.34018499486125386,0.35099806691886903
total_events,"(62.0, 72.0]",0.353099730458221,0.35099806691886903
total_events,"(72.0, 83.0]",0.3907563025210084,0.35099806691886903
total_events,"(83.0, 104.0]",0.4462311557788945,0.35099806691886903
total_events,"(104.0, 440.0]",0.5396669931439765,0.35099806691886903
avg_event_interval_sec,"(5.6659999999999995, 18.5]",0.0,0.21239384630119826
avg_event_interval_sec,"(18.5, 20.417]",0.003956478733926805,0.21239384630119826
avg_event_interval_sec,"(20.417, 105.351]",0.2333664349553128,0.21239384630119826
avg_event_interval_sec,"(105.351, 138.807]",0.4701273261508325,0.21239384630119826
avg_event_interval_sec,"(138.807, 161.919]",0.5185909980430529,0.21239384630119826
avg_event_interval_sec,"(161.919, 178.406]",0.42857142857142855,0.21239384630119826
avg_event_interval_sec,"(178.406, 194.605]",0.3721841332027424,0.21239384630119826
avg_event_interval_sec,"(194.605, 211.789]",0.3356164383561644,0.21239384630119826
avg_event_interval_sec,"(211.789, 235.423]",0.2602739726027397,0.21239384630119826
avg_event_interval_sec,"(235.423, 338.945]",0.175146771037182,0.21239384630119826
chat_opens,"(-0.001, 2.0]",0.10543478260869565,0.30212936047349914
chat_opens,"(2.0, 3.0]",0.35973793924955333,0.30212936047349914
chat_opens,"(3.0, 4.0]",0.3562130177514793,0.30212936047349914
chat_opens,"(4.0, 5.0]",0.3679549114331723,0.30212936047349914
chat_opens,"(5.0, 7.0]",0.390625,0.30212936047349914
chat_opens,"(7.0, 23.0]",0.46986089644513135,0.30212936047349914
chat_views,"(-0.001, 2.0]",0.09878587196467992,0.30568175875557685
chat_views,"(2.0, 3.0]",0.3567901234567901,0.30568175875557685
chat_views,"(3.0, 4.0]",0.35141800246609123,0.30568175875557685
chat_views,"(4.0, 5.0]",0.36913285600636436,0.30568175875557685
chat_views,"(5.0, 6.0]",0.3890909090909091,0.30568175875557685
chat_views,"(6.0, 7.0]",0.39059304703476483,0.30568175875557685
chat_views,"(7.0, 26.0]",0.47759282970550576,0.30568175875557685
messages_sent,"(-0.001, 7.0]",0.052301910429063576,0.33115743493091404
messages_sent,"(7.0, 10.0]",0.3373626373626374,0.33115743493091404
messages_sent,"(10.0, 13.0]",0.3232949512843224,0.33115743493091404
messages_sent,"(13.0, 16.0]",0.3346228239845261,0.33115743493091404
messages_sent,"(16.0, 19.0]",0.34942287513116477,0.33115743493091404
messages_sent,"(19.0, 23.0]",0.3829578844270323,0.33115743493091404
messages_sent,"(23.0, 30.0]",0.4340770791075051,0.33115743493091404
messages_sent,"(30.0, 134.0]",0.5221774193548387,0.33115743493091404
messages_received,"(-0.001, 3.0]",0.02154126213592233,0.4509955992050544
messages_received,"(3.0, 5.0]",0.1831470335339639,0.4509955992050544
messages_received,"(5.0, 7.0]",0.23127572016460907,0.4509955992050544
messages_received,"(7.0, 8.0]",0.2911392405063291,0.4509955992050544
messages_received,"(8.0, 11.0]",0.3412887828162291,0.4509955992050544
messages_received,"(11.0, 14.0]",0.5325814536340853,0.4509955992050544
messages_received,"(14.0, 22.0]",0.6456852791878173,0.4509955992050544
messages_received,"(22.0, 122.0]",0.6719242902208202,0.4509955992050544
answer_errors,"(-0.001, 1.0]",0.21032504780114722,-0.07443819498175126
answer_errors,"(1.0, 2.0]",0.5793201133144475,-0.07443819498175126
answer_errors,"(2.0, 4.0]",0.44798301486199577,-0.07443819498175126
answer_errors,"(4.0, 5.0]",0.3412112259970458,-0.07443819498175126
answer_errors,"(5.0, 7.0]",0.2900826446280992,-0.07443819498175126
answer_errors,"(7.0, 9.0]",0.2374866879659212,-0.07443819498175126
