user_id,onboarding_skips,quiz_answers,total_events,avg_event_interval_sec,chat_opens,chat_views,messages_sent,messages_received,answer_errors,likes,dislikes,successful_purchase,model_changes,is_advanced,time_to_first_message_sec,error_rate,cluster,predicted_churn_probability,predicted_churned,pca1,pca2
13,0.0,3.0,13.0,18.916666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,0.0,0,0.9535226853559572,1,-4.670725754551651,-1.9021218762210066
21,0.0,3.0,42.0,96.34146341463416,2.0,3.0,9.0,3.0,5.0,0.0,0.0,1.0,1.0,1.0,362.0,0.5555555555555556,1,0.792995622263915,1,-0.8364720551972096,1.411371510724119
23,0.0,3.0,13.0,18.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,0.0,0,0.9535226853559572,1,-4.671023152362245,-1.9024273078450433
41,0.0,3.0,67.0,222.8030303030303,5.0,5.0,18.0,9.0,7.0,0.0,4.0,1.0,0.0,0.0,378.0,0.3888888888888889,1,0.792995622263915,1,1.2671666089867497,1.0351961089834036
45,0.0,3.0,57.0,157.44642857142858,3.0,3.0,15.0,8.0,7.0,0.0,4.0,1.0,0.0,0.0,360.0,0.4666666666666667,1,0.792995622263915,1,0.40002127744834653,1.10332738587977
59,0.0,3.0,30.0,144.89655172413794,2.0,2.0,5.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,376.0,0.2,1,0.792995622263915,1,-1.3529512647092692,0.3931814997978205
65,0.0,3.0,77.0,192.80263157894737,5.0,5.0,22.0,10.0,12.0,2.0,1.0,1.0,1.0,1.0,326.0,0.5454545454545454,1,0.792995622263915,1,1.6195480581192518,1.633530465502162
73,0.0,3.0,13.0,16.583333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,0.0,0,0.9535226853559572,1,-4.679052893248272,-1.9106739616940303
74,0.0,3.0,13.0,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,0.0,0,0.9535226853559572,1,-4.6713205501728385,-1.9027327394690798
75,0.0,3.0,73.0,201.45833333333331,5.0,5.0,21.0,11.0,9.0,2.0,0.0,1.0,1.0,1.0,398.0,0.4285714285714285,1,0.792995622263915,1,1.2057780380953529,1.100127423401417
81,0.0,3.0,129.0,302.71875,11.0,11.0,40.0,15.0,22.0,1.0,4.0,1.0,0.0,0.0,404.0,0.55,2,0.1395139513951395,0,5.2815211267869895,2.2305034587771684
85,0.0,3.0,48.0,157.87234042553192,3.0,3.0,11.0,7.0,4.0,2.0,0.0,1.0,1.0,1.0,351.0,0.3636363636363636,1,0.792995622263915,1,-0.3031849495378548,0.718485939877603
99,0.0,3.0,13.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,0.0,0,0.9535226853559572,1,-4.6668595830139346,-1.8981512651085315
111,1.0,2.0,128.0,138.75590551181102,5.0,6.0,39.0,30.0,6.0,10.0,10.0,1.0,0.0,0.0,386.0,0.1538461538461538,2,0.1395139513951395,0,3.831453498677223,-2.4074365907916992
118,0.0,3.0,31.0,129.56666666666666,2.0,2.0,5.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,374.0,0.6,1,0.792995622263915,1,-1.0552586517523894,1.5225781421443525
125,0.0,3.0,189.0,155.63829787234042,9.0,10.0,54.0,51.0,2.0,21.0,7.0,1.0,1.0,1.0,367.0,0.037037037037037,2,0.1395139513951395,0,6.595453499259632,-4.967633296069377
130,0.0,3.0,60.0,182.57627118644064,4.0,4.0,14.0,8.0,5.0,1.0,6.0,1.0,0.0,0.0,356.0,0.3571428571428571,1,0.792995622263915,1,0.8432314028417297,0.5437452169925379
146,0.0,3.0,13.0,16.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,0.0,0,0.9535226853559572,1,-4.678458097627085,-1.910063098445957
158,0.0,3.0,37.0,215.33333333333331,3.0,3.0,7.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,366.0,0.4285714285714285,1,0.792995622263915,1,-0.5684039871997029,1.4035908434218394
175,0.0,3.0,87.0,250.32558139534885,7.0,7.0,24.0,8.0,15.0,2.0,3.0,1.0,0.0,0.0,404.0,0.625,1,0.792995622263915,1,2.73926882033049,2.1117022972648627
190,0.0,3.0,60.0,190.271186440678,4.0,4.0,17.0,4.0,11.0,1.0,1.0,1.0,0.0,0.0,396.0,0.6470588235294118,1,0.792995622263915,1,0.7758920241737576,2.1254857199797823
192,0.0,3.0,64.0,187.28571428571428,4.0,4.0,15.0,10.0,5.0,5.0,3.0,1.0,0.0,0.0,333.0,0.3333333333333333,1,0.792995622263915,1,0.9395741456935619,0.18333177389464336
194,0.0,3.0,13.0,17.916666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,0.0,0,0.9535226853559572,1,-4.674294528278774,-1.9057870557094454
199,0.0,3.0,181.0,192.55,10.0,13.0,51.0,42.0,6.0,12.0,14.0,1.0,0.0,0.0,357.0,0.1176470588235294,2,0.1395139513951395,0,7.222665278679785,-3.4014016216357903
207,0.0,3.0,50.0,153.6326530612245,3.0,3.0,12.0,9.0,2.0,4.0,0.0,1.0,0.0,0.0,345.0,0.1666666666666666,1,0.792995622263915,1,-0.31424483273643783,-0.23469537626260936
210,0.0,3.0,53.0,151.42307692307693,3.0,3.0,13.0,9.0,4.0,3.0,0.0,1.0,1.0,1.0,359.0,0.3076923076923077,1,0.792995622263915,1,-0.15363329594806163,0.3441222797292631
217,0.0,3.0,153.0,212.7565789473684,10.0,10.0,47.0,39.0,6.0,12.0,4.0,1.0,1.0,1.0,379.0,0.1276595744680851,2,0.1395139513951395,0,5.444370177908284,-2.523699013292199
233,0.0,3.0,42.0,172.17073170731706,3.0,3.0,9.0,3.0,5.0,0.0,2.0,1.0,0.0,0.0,381.0,0.5555555555555556,1,0.792995622263915,1,-0.25158948465531283,1.5657105776110585
237,0.0,3.0,13.0,19.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,0.0,0,0.9535226853559572,1,-4.668049174256309,-1.8993729916046778
238,0.0,3.0,13.0,18.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,0.0,0,0.9535226853559572,1,-4.671023152362245,-1.9024273078450433
244,0.0,3.0,13.0,20.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,0.0,0,0.9535226853559572,1,-4.664183002718593,-1.8954023804922024
267,1.0,2.0,13.0,19.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,0.0,0,0.9535226853559572,1,-4.668049174256309,-1.8993729916046778
270,0.0,3.0,63.0,228.82258064516128,5.0,5.0,14.0,8.0,6.0,6.0,0.0,1.0,0.0,0.0,353.0,0.4285714285714285,1,0.792995622263915,1,1.0991637899302718,0.7694931077957651
274,0.0,3.0,59.0,190.48275862068965,4.0,4.0,14.0,10.0,4.0,1.0,2.0,1.0,0.0,0.0,368.0,0.2857142857142857,1,0.792995622263915,1,0.3998573049390655,0.46011375658755
276,0.0,3.0,13.0,21.166666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,0.0,0,0.9535226853559572,1,-4.662696013665625,-1.8938752223720199
279,0.0,3.0,43.0,179.33333333333334,3.0,3.0,9.0,5.0,4.0,0.0,2.0,1.0,0.0,0.0,346.0,0.4444444444444444,1,0.792995622263915,1,-0.2455596374576252,1.2012626372433364
280,0.0,3.0,37.0,126.19444444444444,2.0,2.0,8.0,3.0,4.0,1.0,1.0,1.0,0.0,0.0,367.0,0.5,1,0.792995622263915,1,-0.851028951477829,1.168626515551992
283,0.0,3.0,13.0,20.166666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,0.0,0,0.9535226853559572,1,-4.666264787392747,-1.8975404018604585
297,0.0,3.0,36.0,105.57142857142856,2.0,2.0,6.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,330.0,0.3333333333333333,1,0.792995622263915,1,-1.065108955598919,0.43580008033819423
299,0.0,3.0,199.0,224.62626262626264,13.0,13.0,59.0,47.0,8.0,16.0,16.0,1.0,0.0,0.0,402.0,0.135593220338983,2,0.1395139513951395,0,8.769746289664065,-3.926754720024862
300,0.0,3.0,67.0,176.62121212121212,4.0,4.0,16.0,16.0,0.0,6.0,2.0,1.0,1.0,1.0,361.0,0.0,1,0.792995622263915,1,0.5830799468752625,-1.386556557820909
310,0.0,3.0,97.0,200.10416666666663,6.0,6.0,29.0,13.0,15.0,2.0,6.0,1.0,0.0,0.0,373.0,0.5172413793103449,1,0.792995622263915,1,2.939250659707604,1.2885312488479224
313,0.0,3.0,66.0,186.46153846153845,4.0,4.0,18.0,8.0,9.0,1.0,4.0,1.0,0.0,0.0,360.0,0.5,1,0.792995622263915,1,1.104462679841772,1.2938709144624296
326,0.0,3.0,48.0,110.48936170212764,2.0,2.0,12.0,10.0,2.0,2.0,2.0,1.0,0.0,0.0,317.0,0.1666666666666666,1,0.792995622263915,1,-0.6046228666735429,-0.28845067971709254
338,0.0,3.0,94.0,116.65591397849462,4.0,4.0,25.0,23.0,1.0,8.0,4.0,1.0,1.0,1.0,342.0,0.04,1,0.792995622263915,1,1.4796286778819399,-2.1254395592312996
349,0.0,3.0,65.0,233.078125,5.0,5.0,18.0,7.0,7.0,1.0,3.0,1.0,0.0,0.0,374.0,0.3888888888888889,1,0.792995622263915,1,1.1951041821916677,1.097855683721922
350,0.0,3.0,77.0,186.31578947368425,5.0,5.0,21.0,14.0,7.0,3.0,2.0,1.0,1.0,1.0,335.0,0.3333333333333333,1,0.792995622263915,1,1.4479744696226575,0.3799817099584995
357,0.0,3.0,100.0,200.96969696969697,6.0,7.0,30.0,11.0,17.0,2.0,4.0,1.0,0.0,0.0,351.0,0.5666666666666667,1,0.792995622263915,1,3.0151373627337836,1.7503560875510842
376,0.0,3.0,13.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,0.0,0,0.9535226853559572,1,-4.668643969877497,-1.8999838548527508
377,0.0,3.0,169.0,189.2440476190476,10.0,10.0,53.0,45.0,8.0,13.0,5.0,1.0,1.0,1.0,372.0,0.1509433962264151,2,0.1395139513951395,0,6.124418543060665,-2.84060982966874
390,0.0,3.0,36.0,221.74285714285716,3.0,3.0,6.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,342.0,0.5,1,0.792995622263915,1,-0.40632736479726955,1.4621856633906192
395,0.0,3.0,13.0,21.08333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,0.0,0,0.9535226853559572,1,-4.662993411476219,-1.8941806539960564
398,0.0,3.0,53.0,140.92307692307693,3.0,3.0,13.0,10.0,3.0,3.0,0.0,1.0,1.0,1.0,386.0,0.2307692307692307,1,0.792995622263915,1,-0.29440404616556926,-0.026817177245960146
