answer,all_count,all_pct,null_count,null_pct,diff_pct
coding-assistance content-creation,423,4.329137242861529,67,2.9283216783216783,-1.400815564539851
coding-assistance essay-writing,346,3.541090983522669,62,2.7097902097902096,-0.8313007737324596
coding-assistance education,329,3.3671067444478555,47,2.054195804195804,-1.3129109402520514
business-purposes content-creation,326,3.336403643434654,62,2.7097902097902096,-0.6266134336444442
  content-creation,298,3.0498413673114317,169,7.386363636363637,4.336522269052205
business-purposes essay-writing,272,2.7837478251970116,52,2.272727272727273,-0.5110205524697387
business-purposes education,262,2.681404155153004,49,2.1416083916083917,-0.5397957635446122
  essay-writing,253,2.589294852113397,161,7.036713286713287,4.447418434599889
coding-assistance entertainment,240,2.4562480810561866,45,1.9667832167832169,-0.48946486427296976
  education,235,2.4050762460341826,137,5.9877622377622375,3.582685991728055
coding-assistance social-media,216,2.210623272950568,45,1.9667832167832169,-0.24384005616735105
business-purposes entertainment,202,2.067342134888957,31,1.3548951048951048,-0.7124470299938521
  social-media,189,1.934295363831747,114,4.9825174825174825,3.0482221186857354
business-purposes social-media,189,1.934295363831747,29,1.2674825174825175,-0.6668128463492295
  entertainment,181,1.8524204277965406,107,4.676573426573427,2.824152998776886
  mental-health,152,1.5556237846689183,102,4.458041958041958,2.9024181733730403
coding-assistance mental-health,151,1.5453894176645175,24,1.048951048951049,-0.4964383687134686
coding-assistance cooking,148,1.5146863166513151,29,1.2674825174825175,-0.24720379916879764
business-purposes mental-health,142,1.4532801146249104,28,1.2237762237762237,-0.2295038908486866
business-purposes cooking,137,1.4021082796029067,18,0.7867132867132868,-0.61539499288962
  cooking,109,1.115546003479685,66,2.8846153846153846,1.7690693811356997
coding-assistance content-creation business-purposes essay-writing,63,0.644765121277249,11,0.4807692307692308,-0.16399589050801827
coding-assistance content-creation business-purposes education,58,0.5935932862552451,9,0.3933566433566434,-0.2002366428986017
coding-assistance essay-writing business-purposes content-creation,55,0.5628901852420428,12,0.5244755244755245,-0.03841466076651834
business-purposes education coding-assistance content-creation,55,0.5628901852420428,4,0.17482517482517482,-0.38806501041686803
coding-assistance essay-writing business-purposes education,51,0.5219527172244397,4,0.17482517482517482,-0.3471275423992649
business-purposes content-creation coding-assistance essay-writing,50,0.5117183502200389,8,0.34965034965034963,-0.16206800056968923
business-purposes essay-writing coding-assistance content-creation,47,0.4810152492068366,8,0.34965034965034963,-0.13136489955648695
coding-assistance education business-purposes content-creation,47,0.4810152492068366,5,0.21853146853146854,-0.26248378067536804
business-purposes content-creation coding-assistance education,45,0.46054651519803497,10,0.4370629370629371,-0.023483578135097882
business-purposes essay-writing coding-assistance education,43,0.44007778118923346,4,0.17482517482517482,-0.2652526063640587
coding-assistance content-creation   essay-writing,41,0.4196090471804319,10,0.4370629370629371,0.01745388988250518
coding-assistance essay-writing   content-creation,39,0.3991403131716303,7,0.30594405594405594,-0.09319625722757435
coding-assistance entertainment business-purposes education,38,0.38890594616722957,7,0.30594405594405594,-0.08296189022317363
coding-assistance education   content-creation,38,0.38890594616722957,6,0.26223776223776224,-0.12666818392946733
  education coding-assistance content-creation,37,0.3786715791628288,7,0.30594405594405594,-0.07272752321877285
coding-assistance education business-purposes social-media,37,0.3786715791628288,9,0.3933566433566434,0.014685064193814601
  content-creation coding-assistance education,37,0.3786715791628288,3,0.13111888111888112,-0.24755269804394767
business-purposes content-creation coding-assistance social-media,36,0.368437212158428,6,0.26223776223776224,-0.10619944992066577
coding-assistance social-media business-purposes content-creation,36,0.368437212158428,1,0.043706293706293704,-0.3247309184521343
coding-assistance essay-writing business-purposes entertainment,36,0.368437212158428,8,0.34965034965034963,-0.018786862508078372
coding-assistance content-creation   education,36,0.368437212158428,4,0.17482517482517482,-0.1936120373332532
business-purposes essay-writing coding-assistance social-media,35,0.3582028451540272,8,0.34965034965034963,-0.008552495503677593
coding-assistance mental-health business-purposes content-creation,34,0.34796847814962645,9,0.3933566433566434,0.04538816520701694
business-purposes social-media coding-assistance content-creation,34,0.34796847814962645,3,0.13111888111888112,-0.21684959703074533
  content-creation coding-assistance essay-writing,34,0.34796847814962645,4,0.17482517482517482,-0.17314330332445163
  entertainment coding-assistance content-creation,33,0.33773411114522567,4,0.17482517482517482,-0.16290893632005085
  content-creation business-purposes essay-writing,33,0.33773411114522567,5,0.21853146853146854,-0.11920264261375713
business-purposes content-creation coding-assistance entertainment,32,0.3274997441408249,2,0.08741258741258741,-0.2400871567282375
business-purposes education coding-assistance essay-writing,32,0.3274997441408249,8,0.34965034965034963,0.022150605509524746
business-purposes entertainment coding-assistance education,32,0.3274997441408249,4,0.17482517482517482,-0.15267456931565007
coding-assistance content-creation business-purposes social-media,31,0.3172653771364241,6,0.26223776223776224,-0.05502761489866187
business-purposes mental-health coding-assistance content-creation,31,0.3172653771364241,4,0.17482517482517482,-0.1424402023112493
coding-assistance essay-writing business-purposes cooking,31,0.3172653771364241,5,0.21853146853146854,-0.09873390860495557
business-purposes essay-writing   content-creation,30,0.30703101013202333,1,0.043706293706293704,-0.26332471642572963
business-purposes entertainment coding-assistance content-creation,30,0.30703101013202333,7,0.30594405594405594,-0.0010869541879673927
  essay-writing coding-assistance content-creation,30,0.30703101013202333,7,0.30594405594405594,-0.0010869541879673927
coding-assistance entertainment business-purposes content-creation,29,0.29679664312762255,7,0.30594405594405594,0.009147412816433387
business-purposes entertainment coding-assistance essay-writing,29,0.29679664312762255,5,0.21853146853146854,-0.07826517459615401
  content-creation business-purposes mental-health,29,0.29679664312762255,2,0.08741258741258741,-0.20938405571503516
business-purposes essay-writing coding-assistance entertainment,29,0.29679664312762255,9,0.3933566433566434,0.09656000022902084
coding-assistance education   essay-writing,29,0.29679664312762255,6,0.26223776223776224,-0.03455888088986031
coding-assistance education business-purposes essay-writing,29,0.29679664312762255,8,0.34965034965034963,0.052853706522727084
coding-assistance content-creation   entertainment,29,0.29679664312762255,7,0.30594405594405594,0.009147412816433387
coding-assistance mental-health business-purposes education,29,0.29679664312762255,3,0.13111888111888112,-0.16567776200874143
  content-creation business-purposes education,29,0.29679664312762255,5,0.21853146853146854,-0.07826517459615401
coding-assistance social-media business-purposes education,29,0.29679664312762255,4,0.17482517482517482,-0.12197146830244773
business-purposes education coding-assistance social-media,29,0.29679664312762255,4,0.17482517482517482,-0.12197146830244773
business-purposes essay-writing   education,29,0.29679664312762255,7,0.30594405594405594,0.009147412816433387
coding-assistance entertainment   content-creation,28,0.28656227612322177,6,0.26223776223776224,-0.02432451388545953
coding-assistance content-creation business-purposes entertainment,28,0.28656227612322177,5,0.21853146853146854,-0.06803080759175323
coding-assistance cooking business-purposes content-creation,28,0.28656227612322177,3,0.13111888111888112,-0.15544339500434065
  education coding-assistance essay-writing,27,0.276327909118821,6,0.26223776223776224,-0.014090146881058752
business-purposes content-creation   education,27,0.276327909118821,3,0.13111888111888112,-0.14520902799993987
business-purposes essay-writing coding-assistance mental-health,27,0.276327909118821,5,0.21853146853146854,-0.05779644058735245
coding-assistance mental-health business-purposes essay-writing,27,0.276327909118821,5,0.21853146853146854,-0.05779644058735245
  entertainment coding-assistance education,27,0.276327909118821,4,0.17482517482517482,-0.10150273429364617
coding-assistance social-media business-purposes entertainment,27,0.276327909118821,4,0.17482517482517482,-0.10150273429364617
business-purposes education coding-assistance entertainment,27,0.276327909118821,6,0.26223776223776224,-0.014090146881058752
business-purposes content-creation   essay-writing,27,0.276327909118821,3,0.13111888111888112,-0.14520902799993987
business-purposes social-media coding-assistance essay-writing,27,0.276327909118821,4,0.17482517482517482,-0.10150273429364617
  essay-writing coding-assistance cooking,26,0.2660935421144202,4,0.17482517482517482,-0.0912683672892454
coding-assistance essay-writing business-purposes mental-health,26,0.2660935421144202,4,0.17482517482517482,-0.0912683672892454
coding-assistance essay-writing   entertainment,26,0.2660935421144202,4,0.17482517482517482,-0.0912683672892454
