Interest,Total Users,Purchased,CR (%),Churned,Unsubscribe Rate (%)
gardening,1171,912,77.88,608,66.67
history,1474,1133,76.87,772,68.14
business,1178,903,76.66,612,67.77
movies,1275,975,76.47,668,68.51
sports,825,627,76.0,411,65.55
technology,552,418,75.72,287,68.66
animals,2265,1715,75.72,1194,69.62
learning,1871,1413,75.52,996,70.49
dance,1401,1057,75.45,718,67.93
travel,1456,1093,75.07,745,68.16
outdoor,2113,1582,74.87,1070,67.64
music,2181,1631,74.78,1098,67.32
diy,2262,1688,74.62,1187,70.32
cooking,2051,1529,74.55,1036,67.76
arts,2216,1649,74.41,1142,69.25
family,761,564,74.11,399,70.74
reading,1476,1093,74.05,746,68.25
writing,673,494,73.4,334,67.61
fashion,1257,909,72.32,619,68.1
