answer,total_users,purchased,conversion_rate,churned,churn_rate
gardening,1171,912,77.88215200683177,608,66.66666666666666
history,1474,1133,76.86567164179104,772,68.13768755516328
business,1178,903,76.6553480475382,612,67.77408637873754
movies,1275,975,76.47058823529412,668,68.51282051282051
sports,825,627,76.0,411,65.55023923444976
technology,552,418,75.72463768115942,287,68.6602870813397
animals,2265,1715,75.71743929359823,1194,69.62099125364432
learning,1871,1413,75.5211117049706,996,70.48832271762208
dance,1401,1057,75.44610992148465,718,67.92809839167455
travel,1456,1093,75.06868131868131,745,68.16102470265325
outdoor,2113,1582,74.86985328916232,1070,67.63590391908976
music,2181,1631,74.78220999541495,1098,67.32066217044758
diy,2262,1688,74.62422634836427,1187,70.31990521327015
cooking,2051,1529,74.54900048756704,1036,67.75670372792675
arts,2216,1649,74.41335740072202,1142,69.25409338993329
family,761,564,74.11300919842313,399,70.74468085106383
reading,1476,1093,74.05149051490515,746,68.25251601097897
writing,673,494,73.40267459138187,334,67.61133603238866
fashion,1257,909,72.31503579952268,619,68.0968096809681
