user_id,onboarding_skips,quiz_answers,total_events,avg_event_interval_sec,chat_opens,chat_views,messages_sent,messages_received,answer_errors,likes,dislikes,successful_purchase,model_changes,is_advanced,time_to_first_message_sec,error_rate
13,0.0,3.0,13.0,18.916666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
21,0.0,3.0,42.0,96.34146341463415,2.0,3.0,9.0,3.0,5.0,0.0,0.0,1.0,1.0,1.0,362.0,0.5555555555555556
23,0.0,3.0,13.0,18.833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
41,0.0,3.0,67.0,222.8030303030303,5.0,5.0,18.0,9.0,7.0,0.0,4.0,1.0,0.0,0.0,378.0,0.3888888888888889
45,0.0,3.0,57.0,157.44642857142858,3.0,3.0,15.0,8.0,7.0,0.0,4.0,1.0,0.0,0.0,360.0,0.4666666666666667
59,0.0,3.0,30.0,144.89655172413794,2.0,2.0,5.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,376.0,0.2
65,0.0,3.0,77.0,192.80263157894737,5.0,5.0,22.0,10.0,12.0,2.0,1.0,1.0,1.0,1.0,326.0,0.5454545454545454
73,0.0,3.0,13.0,16.583333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
74,0.0,3.0,13.0,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
75,0.0,3.0,73.0,201.45833333333334,5.0,5.0,21.0,11.0,9.0,2.0,0.0,1.0,1.0,1.0,398.0,0.42857142857142855
81,0.0,3.0,129.0,302.71875,11.0,11.0,40.0,15.0,22.0,1.0,4.0,1.0,0.0,0.0,404.0,0.55
85,0.0,3.0,48.0,157.87234042553192,3.0,3.0,11.0,7.0,4.0,2.0,0.0,1.0,1.0,1.0,351.0,0.36363636363636365
99,0.0,3.0,13.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
111,1.0,2.0,128.0,138.75590551181102,5.0,6.0,39.0,30.0,6.0,10.0,10.0,1.0,0.0,0.0,386.0,0.15384615384615385
118,0.0,3.0,31.0,129.56666666666666,2.0,2.0,5.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,374.0,0.6
