user_id,onboarding_skips,quiz_answers,total_events,avg_event_interval_sec,chat_opens,chat_views,messages_sent,messages_received,answer_errors,likes,dislikes,successful_purchase,model_changes,time_to_first_message_sec,error_rate,is_churned,goals_creative,goals_professional,goals_personal_dev,goals_social_entertain,assist_detailed,assist_concise,interest_creative_arts,interest_practical,interest_outdoor,interest_intellectual,interest_business_tech,interest_lifestyle
2,0.0,3.0,40.0,178.87179487179486,3.0,3.0,8.0,4.0,4.0,0.0,1.0,1.0,0.0,372.0,0.1,1.0,1,1,0,0,1,0,1,1,0,1,0,0
6,0.0,3.0,48.0,141.9787234042553,3.0,3.0,9.0,8.0,1.0,3.0,0.0,1.0,1.0,401.0,0.0208333333333333,1.0,1,1,1,0,1,0,1,1,1,1,0,0
16,0.0,3.0,37.0,124.61111111111111,2.0,2.0,7.0,6.0,1.0,0.0,3.0,1.0,0.0,413.0,0.027027027027027,1.0,0,1,0,1,1,0,1,0,0,1,0,1
22,0.0,3.0,46.0,100.62222222222222,2.0,2.0,10.0,6.0,4.0,3.0,2.0,1.0,1.0,336.0,0.0869565217391304,1.0,1,1,0,0,1,0,1,1,1,0,0,1
29,0.0,3.0,63.0,186.88709677419357,4.0,4.0,19.0,6.0,10.0,0.0,2.0,1.0,0.0,343.0,0.1587301587301587,1.0,0,1,0,1,1,0,1,1,0,0,0,1
31,0.0,3.0,53.0,214.55769230769232,4.0,4.0,14.0,3.0,9.0,1.0,0.0,1.0,0.0,377.0,0.1698113207547169,1.0,1,1,1,0,1,0,1,0,1,1,0,0
36,0.0,3.0,44.0,188.3720930232558,3.0,3.0,10.0,5.0,4.0,2.0,0.0,1.0,0.0,347.0,0.0909090909090909,1.0,0,1,0,1,1,0,1,0,0,0,0,0
37,0.0,3.0,60.0,144.15254237288136,3.0,3.0,17.0,11.0,6.0,1.0,2.0,1.0,0.0,380.0,0.1,1.0,1,1,0,0,1,0,0,0,0,0,0,1
40,0.0,3.0,71.0,273.4428571428571,6.0,6.0,18.0,7.0,10.0,1.0,3.0,1.0,0.0,384.0,0.1408450704225352,1.0,0,1,0,1,1,0,1,0,0,0,0,1
43,0.0,3.0,48.0,168.29787234042553,3.0,3.0,12.0,4.0,8.0,1.0,0.0,1.0,0.0,393.0,0.1666666666666666,1.0,0,1,1,0,1,0,1,0,1,0,0,1
47,0.0,3.0,63.0,194.33870967741936,4.0,4.0,19.0,3.0,13.0,1.0,1.0,1.0,0.0,370.0,0.2063492063492063,1.0,1,1,0,1,1,0,0,0,0,1,0,0
48,0.0,3.0,118.0,191.22222222222223,7.0,7.0,37.0,23.0,14.0,4.0,4.0,1.0,1.0,383.0,0.1186440677966101,1.0,1,1,1,0,1,0,1,0,1,0,0,0
52,0.0,3.0,52.0,211.49019607843135,4.0,4.0,12.0,7.0,3.0,2.0,1.0,1.0,1.0,391.0,0.0576923076923076,1.0,0,1,1,1,1,0,1,1,1,1,0,1
55,0.0,3.0,85.0,212.8809523809524,6.0,6.0,24.0,17.0,6.0,3.0,2.0,1.0,1.0,376.0,0.0705882352941176,1.0,1,1,0,1,1,0,0,0,1,0,0,1
66,0.0,3.0,59.0,247.93103448275863,5.0,5.0,15.0,6.0,7.0,0.0,2.0,1.0,0.0,347.0,0.1186440677966101,1.0,1,1,0,0,1,0,0,1,0,1,0,1
68,0.0,3.0,76.0,238.86666666666667,6.0,6.0,21.0,10.0,9.0,0.0,4.0,1.0,0.0,386.0,0.1184210526315789,1.0,0,1,0,1,1,0,1,0,1,0,0,0
71,0.0,3.0,76.0,194.89333333333332,5.0,5.0,22.0,11.0,11.0,1.0,1.0,1.0,1.0,394.0,0.1447368421052631,1.0,0,1,1,1,1,0,1,0,0,1,0,0
77,0.0,3.0,78.0,190.88311688311688,5.0,5.0,21.0,14.0,7.0,3.0,3.0,1.0,1.0,377.0,0.0897435897435897,1.0,1,1,0,1,1,0,0,0,0,1,0,0
78,0.0,3.0,34.0,112.1818181818182,2.0,2.0,6.0,3.0,3.0,0.0,2.0,1.0,0.0,346.0,0.088235294117647,1.0,1,1,0,0,1,0,0,0,0,1,0,0
82,0.0,3.0,53.0,189.40384615384616,4.0,4.0,12.0,8.0,4.0,2.0,0.0,1.0,1.0,363.0,0.0754716981132075,1.0,1,1,0,0,1,0,1,1,1,1,0,0
83,0.0,3.0,69.0,212.0735294117647,5.0,5.0,21.0,6.0,12.0,1.0,0.0,1.0,0.0,366.0,0.1739130434782608,1.0,1,1,0,0,1,0,1,0,1,1,0,1
92,0.0,3.0,47.0,230.06521739130437,4.0,4.0,11.0,3.0,6.0,1.0,0.0,1.0,0.0,362.0,0.1276595744680851,1.0,0,1,0,1,1,0,1,1,0,0,0,0
107,0.0,3.0,54.0,155.11320754716982,3.0,3.0,13.0,9.0,4.0,1.0,3.0,1.0,1.0,410.0,0.074074074074074,1.0,1,1,0,0,1,0,1,1,0,0,0,0
113,0.0,3.0,61.0,178.41666666666666,4.0,5.0,15.0,5.0,7.0,1.0,3.0,1.0,0.0,362.0,0.1147540983606557,1.0,0,1,1,1,1,0,1,1,0,1,0,0
120,0.0,3.0,38.0,121.89189189189187,2.0,2.0,9.0,4.0,5.0,0.0,0.0,1.0,0.0,376.0,0.131578947368421,1.0,1,1,1,0,1,0,0,0,1,0,0,1
131,0.0,3.0,60.0,216.4237288135593,4.0,4.0,17.0,6.0,10.0,0.0,1.0,1.0,0.0,353.0,0.1666666666666666,1.0,1,1,0,1,1,0,0,0,1,1,0,0
141,0.0,3.0,81.0,276.2375,7.0,7.0,22.0,10.0,9.0,0.0,2.0,1.0,0.0,355.0,0.1111111111111111,1.0,1,1,0,1,1,0,0,1,1,0,0,1
145,0.0,3.0,49.0,162.9375,3.0,3.0,13.0,5.0,7.0,1.0,0.0,1.0,0.0,366.0,0.1428571428571428,1.0,0,1,1,0,1,0,0,0,0,0,0,1
152,0.0,3.0,69.0,267.05882352941177,6.0,6.0,19.0,9.0,7.0,1.0,1.0,1.0,0.0,380.0,0.1014492753623188,1.0,1,1,0,0,1,0,1,1,0,1,0,1
154,0.0,3.0,27.0,144.30769230769232,2.0,2.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,349.0,0.037037037037037,1.0,0,1,1,0,1,0,0,0,0,1,0,0
