,user_id,onboarding_skips,quiz_answers,total_events,avg_event_interval_sec,chat_opens,chat_views,messages_sent,messages_received,answer_errors,likes,dislikes,successful_purchase,model_changes,time_to_first_message_sec,error_rate,is_churned,goals_creative,goals_professional,goals_personal_dev,goals_social_entertain,assist_detailed,assist_concise,interest_creative_arts,interest_practical,interest_outdoor,interest_intellectual,interest_business_tech,interest_lifestyle
0,1,0.0,3.0,60.0,211.57627118644064,4.0,4.0,15.0,8.0,7.0,1.0,3.0,1.0,0.0,343.0,0.4666666666666667,1.0,0,0,0,1,1,0,1,1,0,1,0,0
1,2,0.0,3.0,40.0,178.87179487179486,3.0,3.0,8.0,4.0,4.0,0.0,1.0,1.0,0.0,372.0,0.5,1.0,1,1,0,0,1,0,1,1,0,1,0,0
2,3,2.0,2.0,73.0,109.19444444444444,3.0,3.0,20.0,18.0,1.0,6.0,3.0,1.0,1.0,380.0,0.05,0.0,1,1,1,0,1,0,0,0,0,0,0,0
3,4,0.0,3.0,235.0,262.64957264957263,17.0,17.0,83.0,30.0,45.0,3.0,10.0,1.0,0.0,365.0,0.5421686746987951,1.0,0,1,1,0,1,0,0,0,0,0,1,0
4,5,0.0,3.0,13.0,18.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950.0,0.0,1.0,0,1,0,1,1,0,0,0,0,1,0,0
5,6,0.0,3.0,48.0,141.9787234042553,3.0,3.0,9.0,8.0,1.0,3.0,0.0,1.0,1.0,401.0,0.1111111111111111,1.0,1,1,1,0,1,0,1,1,1,1,0,0
6,7,0.0,3.0,64.0,192.031746031746,4.0,4.0,16.0,14.0,1.0,5.0,1.0,1.0,1.0,329.0,0.0625,0.0,1,1,0,0,1,0,0,1,1,1,0,1
7,8,0.0,3.0,139.0,171.54347826086956,7.0,8.0,41.0,33.0,7.0,6.0,13.0,1.0,0.0,336.0,0.1707317073170731,0.0,0,1,1,1,1,0,1,1,0,0,0,0
8,9,0.0,3.0,100.0,231.020202020202,7.0,7.0,31.0,18.0,12.0,2.0,1.0,1.0,1.0,362.0,0.3870967741935484,1.0,1,1,0,0,1,0,0,0,0,1,1,0
9,10,1.0,2.0,43.0,183.54761904761904,3.0,3.0,11.0,2.0,7.0,0.0,0.0,1.0,0.0,367.0,0.6363636363636364,1.0,1,1,0,1,1,0,0,0,0,0,0,0
10,11,0.0,3.0,13.0,18.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950.0,0.0,1.0,0,1,0,1,1,0,1,0,0,1,0,0
11,12,0.0,3.0,52.0,156.9803921568627,3.0,3.0,14.0,6.0,7.0,1.0,0.0,1.0,1.0,358.0,0.5,1.0,1,1,1,0,1,0,1,0,0,1,1,1
12,14,0.0,3.0,13.0,20.916666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950.0,0.0,1.0,1,1,0,0,1,0,1,1,0,1,0,1
13,15,0.0,3.0,47.0,162.67391304347825,3.0,3.0,8.0,8.0,0.0,4.0,3.0,1.0,1.0,323.0,0.0,0.0,0,1,1,0,1,0,1,0,0,0,0,1
14,16,0.0,3.0,37.0,124.61111111111111,2.0,2.0,7.0,6.0,1.0,0.0,3.0,1.0,0.0,413.0,0.1428571428571428,1.0,0,1,0,1,1,0,1,0,0,1,0,1
15,17,0.0,3.0,13.0,18.58333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950.0,0.0,1.0,0,1,0,1,1,0,1,1,0,1,0,0
16,18,0.0,3.0,116.0,222.2086956521739,8.0,8.0,33.0,30.0,2.0,10.0,2.0,1.0,1.0,359.0,0.0606060606060606,0.0,1,1,1,0,1,0,0,1,0,1,1,0
17,19,1.0,2.0,200.0,205.96984924623115,12.0,12.0,61.0,50.0,9.0,14.0,16.0,1.0,0.0,369.0,0.1475409836065573,0.0,1,1,0,1,1,0,0,0,0,0,0,0
18,20,0.0,3.0,40.0,98.56410256410255,2.0,2.0,9.0,9.0,0.0,1.0,0.0,1.0,1.0,337.0,0.0,0.0,1,1,0,0,1,0,0,0,1,1,0,1
19,22,0.0,3.0,46.0,100.62222222222222,2.0,2.0,10.0,6.0,4.0,3.0,2.0,1.0,1.0,336.0,0.4,1.0,1,1,0,0,1,0,1,1,1,0,0,1
20,24,0.0,3.0,13.0,19.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950.0,0.0,1.0,1,1,1,0,1,0,1,1,1,0,0,1
21,25,0.0,3.0,268.0,173.7078651685393,13.0,15.0,84.0,64.0,14.0,16.0,20.0,1.0,0.0,355.0,0.1666666666666666,0.0,0,1,1,0,1,0,0,1,1,0,1,0
22,26,1.0,2.0,39.0,107.97368421052632,2.0,2.0,8.0,4.0,4.0,0.0,2.0,1.0,1.0,398.0,0.5,1.0,0,0,0,0,1,0,1,1,0,1,0,1
23,27,1.0,2.0,70.0,208.63768115942028,5.0,5.0,19.0,11.0,7.0,2.0,1.0,1.0,1.0,343.0,0.3684210526315789,1.0,0,1,1,0,1,0,0,0,0,0,0,0
24,28,0.0,3.0,87.0,178.7325581395349,5.0,5.0,28.0,9.0,18.0,1.0,2.0,1.0,0.0,329.0,0.6428571428571429,1.0,0,1,1,0,1,0,0,1,1,1,0,1
25,29,0.0,3.0,63.0,186.88709677419357,4.0,4.0,19.0,6.0,10.0,0.0,2.0,1.0,0.0,343.0,0.5263157894736842,1.0,0,1,0,1,1,0,1,1,0,0,0,1
26,30,0.0,3.0,13.0,19.416666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950.0,0.0,1.0,0,0,1,0,0,1,0,1,1,0,0,0
27,31,0.0,3.0,53.0,214.55769230769232,4.0,4.0,14.0,3.0,9.0,1.0,0.0,1.0,0.0,377.0,0.6428571428571429,1.0,1,1,1,0,1,0,1,0,1,1,0,0
28,32,0.0,3.0,89.0,243.29545454545453,7.0,7.0,26.0,14.0,10.0,2.0,1.0,1.0,1.0,343.0,0.3846153846153846,1.0,1,1,1,0,0,1,0,1,0,1,1,0
29,33,0.0,3.0,13.0,18.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950.0,0.0,1.0,1,1,0,0,1,0,1,1,0,0,0,0
30,34,0.0,3.0,13.0,21.416666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950.0,0.0,1.0,1,1,1,0,1,0,0,1,0,0,1,1
31,35,0.0,3.0,53.0,153.26923076923077,3.0,3.0,14.0,9.0,4.0,2.0,0.0,1.0,1.0,363.0,0.2857142857142857,1.0,0,0,1,0,1,0,1,0,0,1,0,1
32,36,0.0,3.0,44.0,188.3720930232558,3.0,3.0,10.0,5.0,4.0,2.0,0.0,1.0,0.0,347.0,0.4,1.0,0,1,0,1,1,0,1,0,0,0,0,0
33,37,0.0,3.0,60.0,144.15254237288136,3.0,3.0,17.0,11.0,6.0,1.0,2.0,1.0,0.0,380.0,0.3529411764705882,1.0,1,1,0,0,1,0,0,0,0,0,0,1
34,38,1.0,2.0,107.0,189.08490566037736,6.0,6.0,30.0,21.0,6.0,6.0,6.0,1.0,0.0,373.0,0.2,0.0,0,1,1,0,1,0,0,0,0,0,0,0
35,39,0.0,3.0,93.0,249.2717391304348,7.0,7.0,25.0,15.0,10.0,4.0,4.0,1.0,0.0,380.0,0.4,1.0,1,1,0,0,1,0,0,1,1,1,1,1
36,40,0.0,3.0,71.0,273.4428571428571,6.0,6.0,18.0,7.0,10.0,1.0,3.0,1.0,0.0,384.0,0.5555555555555556,1.0,0,1,0,1,1,0,1,0,0,0,0,1
37,42,0.0,3.0,13.0,22.58333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950.0,0.0,1.0,1,1,1,0,1,0,1,1,1,0,0,0
38,43,0.0,3.0,48.0,168.29787234042553,3.0,3.0,12.0,4.0,8.0,1.0,0.0,1.0,0.0,393.0,0.6666666666666666,1.0,0,1,1,0,1,0,1,0,1,0,0,1
39,44,1.0,2.0,54.0,146.03773584905662,3.0,3.0,14.0,8.0,5.0,3.0,0.0,1.0,1.0,327.0,0.3571428571428571,1.0,1,1,0,0,1,0,0,0,0,0,0,0
40,46,0.0,3.0,72.0,161.11267605633802,4.0,4.0,19.0,17.0,1.0,8.0,0.0,1.0,1.0,387.0,0.0526315789473684,0.0,1,1,0,1,1,0,1,0,1,1,0,0
41,47,0.0,3.0,63.0,194.33870967741936,4.0,4.0,19.0,3.0,13.0,1.0,1.0,1.0,0.0,370.0,0.6842105263157895,1.0,1,1,0,1,1,0,0,0,0,1,0,0
42,48,0.0,3.0,118.0,191.22222222222223,7.0,7.0,37.0,23.0,14.0,4.0,4.0,1.0,1.0,383.0,0.3783783783783784,1.0,1,1,1,0,1,0,1,0,1,0,0,0
43,49,0.0,3.0,13.0,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950.0,0.0,1.0,0,1,1,0,1,0,0,0,0,1,0,0
44,50,0.0,3.0,13.0,20.166666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950.0,0.0,1.0,1,1,0,0,1,0,0,0,1,0,1,1
45,51,0.0,3.0,41.0,112.725,2.0,2.0,9.0,7.0,1.0,1.0,3.0,1.0,0.0,359.0,0.1111111111111111,0.0,0,1,1,0,1,0,1,0,0,1,1,0
46,52,0.0,3.0,52.0,211.49019607843135,4.0,4.0,12.0,7.0,3.0,2.0,1.0,1.0,1.0,391.0,0.25,1.0,0,1,1,1,1,0,1,1,1,1,0,1
47,53,0.0,3.0,24.0,24.52173913043478,1.0,1.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,383.0,0.0,0.0,1,1,0,0,0,1,1,1,1,0,1,0
48,54,2.0,1.0,13.0,20.08333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950.0,0.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0
49,55,0.0,3.0,85.0,212.8809523809524,6.0,6.0,24.0,17.0,6.0,3.0,2.0,1.0,1.0,376.0,0.25,1.0,1,1,0,1,1,0,0,0,1,0,0,1
50,56,0.0,3.0,75.0,126.67567567567568,3.0,4.0,20.0,13.0,7.0,2.0,6.0,1.0,0.0,394.0,0.35,0.0,0,1,0,1,1,0,1,0,0,0,0,0
51,57,1.0,2.0,70.0,113.46376811594205,3.0,3.0,20.0,17.0,3.0,5.0,1.0,1.0,1.0,380.0,0.15,0.0,0,0,0,0,1,0,0,0,0,1,0,1
52,58,0.0,3.0,49.0,170.3125,3.0,3.0,12.0,4.0,6.0,1.0,3.0,1.0,0.0,357.0,0.5,1.0,0,1,0,1,1,0,1,1,1,1,1,0
53,60,0.0,3.0,158.0,211.15923566878985,10.0,10.0,45.0,41.0,3.0,20.0,4.0,1.0,1.0,377.0,0.0666666666666666,0.0,1,1,0,0,1,0,0,0,0,0,0,1
54,61,0.0,3.0,45.0,109.27272727272728,2.0,2.0,11.0,8.0,3.0,0.0,3.0,1.0,0.0,380.0,0.2727272727272727,0.0,1,1,1,0,1,0,0,0,0,1,0,0
55,62,0.0,3.0,29.0,27.142857142857142,1.0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,0.0,359.0,0.2,0.0,1,1,0,0,1,0,0,1,0,0,0,1
56,63,0.0,3.0,119.0,205.71186440677965,7.0,8.0,33.0,24.0,6.0,5.0,9.0,1.0,0.0,339.0,0.1818181818181818,0.0,0,1,0,1,1,0,1,0,1,1,0,1
57,64,0.0,3.0,54.0,211.35849056603772,4.0,4.0,13.0,6.0,6.0,1.0,1.0,1.0,1.0,306.0,0.4615384615384615,1.0,0,1,1,0,1,0,0,1,0,0,1,0
58,66,0.0,3.0,59.0,247.93103448275863,5.0,5.0,15.0,6.0,7.0,0.0,2.0,1.0,0.0,347.0,0.4666666666666667,1.0,1,1,0,0,1,0,0,1,0,1,0,1
59,67,0.0,3.0,98.0,117.38144329896907,4.0,5.0,30.0,25.0,2.0,8.0,2.0,1.0,1.0,327.0,0.0666666666666666,0.0,1,1,1,0,1,0,1,0,0,1,1,0
60,68,0.0,3.0,76.0,238.86666666666667,6.0,6.0,21.0,10.0,9.0,0.0,4.0,1.0,0.0,386.0,0.4285714285714285,1.0,0,1,0,1,1,0,1,0,1,0,0,0
61,69,0.0,3.0,13.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950.0,0.0,1.0,1,1,0,1,1,0,1,1,0,1,0,0
62,70,0.0,3.0,13.0,17.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950.0,0.0,1.0,1,0,0,0,1,0,0,1,0,1,0,0
63,71,0.0,3.0,76.0,194.89333333333332,5.0,5.0,22.0,11.0,11.0,1.0,1.0,1.0,1.0,394.0,0.5,1.0,0,1,1,1,1,0,1,0,0,1,0,0
64,72,1.0,2.0,13.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950.0,0.0,1.0,0,1,1,0,1,0,0,0,0,0,0,0
65,76,1.0,2.0,13.0,19.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950.0,0.0,1.0,0,0,0,0,1,0,1,1,0,0,0,1
66,77,0.0,3.0,78.0,190.88311688311688,5.0,5.0,21.0,14.0,7.0,3.0,3.0,1.0,1.0,377.0,0.3333333333333333,1.0,1,1,0,1,1,0,0,0,0,1,0,0
67,78,0.0,3.0,34.0,112.1818181818182,2.0,2.0,6.0,3.0,3.0,0.0,2.0,1.0,0.0,346.0,0.5,1.0,1,1,0,0,1,0,0,0,0,1,0,0
68,79,2.0,1.0,13.0,13.083333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950.0,0.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0
69,80,0.0,3.0,50.0,167.69387755102042,3.0,3.0,13.0,3.0,9.0,1.0,1.0,1.0,0.0,408.0,0.6923076923076923,1.0,0,1,1,0,0,1,1,0,1,1,1,0
70,82,0.0,3.0,53.0,189.40384615384616,4.0,4.0,12.0,8.0,4.0,2.0,0.0,1.0,1.0,363.0,0.3333333333333333,1.0,1,1,0,0,1,0,1,1,1,1,0,0
71,83,0.0,3.0,69.0,212.0735294117647,5.0,5.0,21.0,6.0,12.0,1.0,0.0,1.0,0.0,366.0,0.5714285714285714,1.0,1,1,0,0,1,0,1,0,1,1,0,1
72,84,1.0,2.0,13.0,14.833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950.0,0.0,1.0,1,1,0,1,1,0,0,0,0,0,0,0
73,86,1.0,2.0,188.0,117.16577540106952,7.0,9.0,59.0,54.0,3.0,17.0,5.0,1.0,1.0,364.0,0.0508474576271186,0.0,0,1,0,1,1,0,0,0,0,0,0,0
74,87,0.0,3.0,13.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950.0,0.0,1.0,0,0,1,0,1,0,1,0,0,0,0,1
75,88,0.0,3.0,91.0,162.06666666666666,5.0,5.0,27.0,25.0,2.0,5.0,2.0,1.0,1.0,381.0,0.074074074074074,0.0,0,1,1,1,1,0,1,0,0,1,0,0
76,89,0.0,3.0,34.0,120.12121212121212,2.0,2.0,6.0,3.0,3.0,1.0,0.0,1.0,1.0,365.0,0.5,1.0,1,1,0,1,0,1,1,0,1,0,0,0
77,90,0.0,3.0,13.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950.0,0.0,1.0,1,1,0,1,1,0,0,1,1,0,0,0
78,91,0.0,3.0,13.0,20.08333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950.0,0.0,1.0,0,1,1,1,0,1,0,1,0,0,0,0
79,92,0.0,3.0,47.0,230.06521739130437,4.0,4.0,11.0,3.0,6.0,1.0,0.0,1.0,0.0,362.0,0.5454545454545454,1.0,0,1,0,1,1,0,1,1,0,0,0,0
80,93,0.0,3.0,71.0,127.14285714285714,3.0,3.0,21.0,16.0,5.0,5.0,1.0,1.0,0.0,383.0,0.238095238095238,0.0,0,1,0,1,1,0,1,0,0,0,0,0
81,94,0.0,3.0,13.0,18.416666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950.0,0.0,1.0,1,1,0,1,1,0,0,0,1,0,0,1
82,95,0.0,3.0,113.0,186.3571428571429,6.0,6.0,38.0,14.0,23.0,2.0,4.0,1.0,0.0,393.0,0.6052631578947368,1.0,1,1,0,1,1,0,1,0,0,0,0,0
83,96,0.0,3.0,71.0,152.21428571428572,4.0,4.0,17.0,14.0,2.0,6.0,2.0,1.0,1.0,347.0,0.1176470588235294,0.0,1,1,0,0,1,0,0,1,0,1,1,0
84,97,1.0,2.0,13.0,19.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950.0,0.0,1.0,0,0,0,0,1,0,1,1,0,0,0,0
85,98,1.0,2.0,67.0,176.34848484848484,4.0,4.0,19.0,10.0,8.0,2.0,2.0,1.0,0.0,358.0,0.4210526315789473,1.0,0,1,0,1,1,0,0,0,0,0,0,0
86,100,1.0,2.0,13.0,18.916666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950.0,0.0,1.0,0,0,0,0,1,0,0,1,1,0,0,1
87,101,0.0,3.0,13.0,20.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950.0,0.0,1.0,1,0,0,0,1,0,1,1,1,0,0,1
88,102,0.0,3.0,69.0,121.05882352941175,3.0,4.0,15.0,12.0,3.0,7.0,1.0,1.0,1.0,380.0,0.2,0.0,1,0,0,0,1,0,0,1,0,0,0,0
89,103,0.0,3.0,13.0,19.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950.0,0.0,1.0,0,0,1,0,1,0,1,0,1,1,0,0
90,104,0.0,3.0,93.0,166.25,5.0,5.0,25.0,23.0,2.0,10.0,3.0,1.0,1.0,350.0,0.08,0.0,1,1,1,0,1,0,1,0,0,0,0,0
91,105,1.0,2.0,81.0,228.4125,6.0,6.0,22.0,13.0,7.0,3.0,4.0,1.0,0.0,325.0,0.3181818181818182,1.0,1,1,0,0,1,0,0,0,0,0,0,0
92,106,1.0,2.0,13.0,16.416666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950.0,0.0,1.0,1,0,0,0,0,0,1,1,1,0,0,0
93,107,0.0,3.0,54.0,155.11320754716982,3.0,3.0,13.0,9.0,4.0,1.0,3.0,1.0,1.0,410.0,0.3076923076923077,1.0,1,1,0,0,1,0,1,1,0,0,0,0
