feature,mean,scale
total_events,60.95837423915178,19.240727915246886
avg_event_interval_sec,179.35338188360797,53.76081347289551
chat_opens,3.933438052228549,1.5826243034231104
messages_received,8.598075790300411,4.91447093505687
answer_errors,6.137247202042018,4.058502677474715
likes,1.9222462203023758,1.7668550736309254
dislikes,2.0563518554879248,1.654345735029472
model_changes,0.3290791282151973,0.46987876690516994
time_to_first_message_sec,370.1792656587473,21.116077656809196
error_rate,0.09707211637580358,0.05153670364791485
is_churned,0.7895150206165324,0.40765310355424594
