user_id,onboarding_skips,quiz_answers,total_events,avg_event_interval_sec,chat_opens,chat_views,messages_sent,messages_received,answer_errors,likes,dislikes,successful_purchase,model_changes,time_to_first_message_sec,error_rate,is_churned
1,0.0,3.0,60.0,211.57627118644066,4.0,4.0,15.0,8.0,7.0,1.0,3.0,1.0,0.0,343.0,0.11666666666666667,1.0
2,0.0,3.0,40.0,178.87179487179486,3.0,3.0,8.0,4.0,4.0,0.0,1.0,1.0,0.0,372.0,0.1,1.0
3,2.0,2.0,73.0,109.19444444444444,3.0,3.0,20.0,18.0,1.0,6.0,3.0,1.0,1.0,380.0,0.0136986301369863,0.0
4,0.0,3.0,235.0,262.64957264957263,17.0,17.0,83.0,30.0,45.0,3.0,10.0,1.0,0.0,365.0,0.19148936170212766,1.0
5,0.0,3.0,13.0,18.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0
6,0.0,3.0,48.0,141.9787234042553,3.0,3.0,9.0,8.0,1.0,3.0,0.0,1.0,1.0,401.0,0.020833333333333332,1.0
7,0.0,3.0,64.0,192.03174603174602,4.0,4.0,16.0,14.0,1.0,5.0,1.0,1.0,1.0,329.0,0.015625,0.0
8,0.0,3.0,139.0,171.54347826086956,7.0,8.0,41.0,33.0,7.0,6.0,13.0,1.0,0.0,336.0,0.050359712230215826,0.0
9,0.0,3.0,100.0,231.02020202020202,7.0,7.0,31.0,18.0,12.0,2.0,1.0,1.0,1.0,362.0,0.12,1.0
10,1.0,2.0,43.0,183.54761904761904,3.0,3.0,11.0,2.0,7.0,0.0,0.0,1.0,0.0,367.0,0.16279069767441862,1.0
11,0.0,3.0,13.0,18.833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0
12,0.0,3.0,52.0,156.98039215686273,3.0,3.0,14.0,6.0,7.0,1.0,0.0,1.0,1.0,358.0,0.1346153846153846,1.0
14,0.0,3.0,13.0,20.916666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0
15,0.0,3.0,47.0,162.67391304347825,3.0,3.0,8.0,8.0,0.0,4.0,3.0,1.0,1.0,323.0,0.0,0.0
16,0.0,3.0,37.0,124.61111111111111,2.0,2.0,7.0,6.0,1.0,0.0,3.0,1.0,0.0,413.0,0.02702702702702703,1.0
17,0.0,3.0,13.0,18.583333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0
18,0.0,3.0,116.0,222.2086956521739,8.0,8.0,33.0,30.0,2.0,10.0,2.0,1.0,1.0,359.0,0.017241379310344827,0.0
19,1.0,2.0,200.0,205.96984924623115,12.0,12.0,61.0,50.0,9.0,14.0,16.0,1.0,0.0,369.0,0.045,0.0
20,0.0,3.0,40.0,98.56410256410257,2.0,2.0,9.0,9.0,0.0,1.0,0.0,1.0,1.0,337.0,0.0,0.0
22,0.0,3.0,46.0,100.62222222222222,2.0,2.0,10.0,6.0,4.0,3.0,2.0,1.0,1.0,336.0,0.08695652173913043,1.0
24,0.0,3.0,13.0,19.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0
25,0.0,3.0,268.0,173.7078651685393,13.0,15.0,84.0,64.0,14.0,16.0,20.0,1.0,0.0,355.0,0.05223880597014925,0.0
26,1.0,2.0,39.0,107.97368421052632,2.0,2.0,8.0,4.0,4.0,0.0,2.0,1.0,1.0,398.0,0.10256410256410256,1.0
27,1.0,2.0,70.0,208.63768115942028,5.0,5.0,19.0,11.0,7.0,2.0,1.0,1.0,1.0,343.0,0.1,1.0
28,0.0,3.0,87.0,178.7325581395349,5.0,5.0,28.0,9.0,18.0,1.0,2.0,1.0,0.0,329.0,0.20689655172413793,1.0
29,0.0,3.0,63.0,186.88709677419354,4.0,4.0,19.0,6.0,10.0,0.0,2.0,1.0,0.0,343.0,0.15873015873015872,1.0
30,0.0,3.0,13.0,19.416666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0
31,0.0,3.0,53.0,214.55769230769232,4.0,4.0,14.0,3.0,9.0,1.0,0.0,1.0,0.0,377.0,0.16981132075471697,1.0
32,0.0,3.0,89.0,243.29545454545453,7.0,7.0,26.0,14.0,10.0,2.0,1.0,1.0,1.0,343.0,0.11235955056179775,1.0
33,0.0,3.0,13.0,18.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0
34,0.0,3.0,13.0,21.416666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0
35,0.0,3.0,53.0,153.26923076923077,3.0,3.0,14.0,9.0,4.0,2.0,0.0,1.0,1.0,363.0,0.07547169811320754,1.0
36,0.0,3.0,44.0,188.37209302325581,3.0,3.0,10.0,5.0,4.0,2.0,0.0,1.0,0.0,347.0,0.09090909090909091,1.0
37,0.0,3.0,60.0,144.15254237288136,3.0,3.0,17.0,11.0,6.0,1.0,2.0,1.0,0.0,380.0,0.1,1.0
38,1.0,2.0,107.0,189.08490566037736,6.0,6.0,30.0,21.0,6.0,6.0,6.0,1.0,0.0,373.0,0.056074766355140186,0.0
39,0.0,3.0,93.0,249.27173913043478,7.0,7.0,25.0,15.0,10.0,4.0,4.0,1.0,0.0,380.0,0.10752688172043011,1.0
40,0.0,3.0,71.0,273.4428571428571,6.0,6.0,18.0,7.0,10.0,1.0,3.0,1.0,0.0,384.0,0.14084507042253522,1.0
42,0.0,3.0,13.0,22.583333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0
43,0.0,3.0,48.0,168.29787234042553,3.0,3.0,12.0,4.0,8.0,1.0,0.0,1.0,0.0,393.0,0.16666666666666666,1.0
44,1.0,2.0,54.0,146.03773584905662,3.0,3.0,14.0,8.0,5.0,3.0,0.0,1.0,1.0,327.0,0.09259259259259259,1.0
46,0.0,3.0,72.0,161.11267605633802,4.0,4.0,19.0,17.0,1.0,8.0,0.0,1.0,1.0,387.0,0.013888888888888888,0.0
47,0.0,3.0,63.0,194.33870967741936,4.0,4.0,19.0,3.0,13.0,1.0,1.0,1.0,0.0,370.0,0.20634920634920634,1.0
48,0.0,3.0,118.0,191.22222222222223,7.0,7.0,37.0,23.0,14.0,4.0,4.0,1.0,1.0,383.0,0.11864406779661017,1.0
49,0.0,3.0,13.0,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0
50,0.0,3.0,13.0,20.166666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0
51,0.0,3.0,41.0,112.725,2.0,2.0,9.0,7.0,1.0,1.0,3.0,1.0,0.0,359.0,0.024390243902439025,0.0
52,0.0,3.0,52.0,211.49019607843138,4.0,4.0,12.0,7.0,3.0,2.0,1.0,1.0,1.0,391.0,0.057692307692307696,1.0
53,0.0,3.0,24.0,24.52173913043478,1.0,1.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,383.0,0.0,0.0
54,2.0,1.0,13.0,20.083333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0
55,0.0,3.0,85.0,212.88095238095238,6.0,6.0,24.0,17.0,6.0,3.0,2.0,1.0,1.0,376.0,0.07058823529411765,1.0
56,0.0,3.0,75.0,126.67567567567568,3.0,4.0,20.0,13.0,7.0,2.0,6.0,1.0,0.0,394.0,0.09333333333333334,0.0
57,1.0,2.0,70.0,113.46376811594203,3.0,3.0,20.0,17.0,3.0,5.0,1.0,1.0,1.0,380.0,0.04285714285714286,0.0
58,0.0,3.0,49.0,170.3125,3.0,3.0,12.0,4.0,6.0,1.0,3.0,1.0,0.0,357.0,0.12244897959183673,1.0
60,0.0,3.0,158.0,211.15923566878982,10.0,10.0,45.0,41.0,3.0,20.0,4.0,1.0,1.0,377.0,0.0189873417721519,0.0
61,0.0,3.0,45.0,109.27272727272727,2.0,2.0,11.0,8.0,3.0,0.0,3.0,1.0,0.0,380.0,0.06666666666666667,0.0
62,0.0,3.0,29.0,27.142857142857142,1.0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,0.0,359.0,0.034482758620689655,0.0
63,0.0,3.0,119.0,205.71186440677965,7.0,8.0,33.0,24.0,6.0,5.0,9.0,1.0,0.0,339.0,0.05042016806722689,0.0
64,0.0,3.0,54.0,211.35849056603774,4.0,4.0,13.0,6.0,6.0,1.0,1.0,1.0,1.0,306.0,0.1111111111111111,1.0
66,0.0,3.0,59.0,247.93103448275863,5.0,5.0,15.0,6.0,7.0,0.0,2.0,1.0,0.0,347.0,0.11864406779661017,1.0
67,0.0,3.0,98.0,117.38144329896907,4.0,5.0,30.0,25.0,2.0,8.0,2.0,1.0,1.0,327.0,0.02040816326530612,0.0
68,0.0,3.0,76.0,238.86666666666667,6.0,6.0,21.0,10.0,9.0,0.0,4.0,1.0,0.0,386.0,0.11842105263157894,1.0
69,0.0,3.0,13.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0
70,0.0,3.0,13.0,17.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0
71,0.0,3.0,76.0,194.89333333333335,5.0,5.0,22.0,11.0,11.0,1.0,1.0,1.0,1.0,394.0,0.14473684210526316,1.0
72,1.0,2.0,13.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0
76,1.0,2.0,13.0,19.833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0
77,0.0,3.0,78.0,190.88311688311688,5.0,5.0,21.0,14.0,7.0,3.0,3.0,1.0,1.0,377.0,0.08974358974358974,1.0
78,0.0,3.0,34.0,112.18181818181819,2.0,2.0,6.0,3.0,3.0,0.0,2.0,1.0,0.0,346.0,0.08823529411764706,1.0
79,2.0,1.0,13.0,13.083333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0
80,0.0,3.0,50.0,167.69387755102042,3.0,3.0,13.0,3.0,9.0,1.0,1.0,1.0,0.0,408.0,0.18,1.0
82,0.0,3.0,53.0,189.40384615384616,4.0,4.0,12.0,8.0,4.0,2.0,0.0,1.0,1.0,363.0,0.07547169811320754,1.0
83,0.0,3.0,69.0,212.0735294117647,5.0,5.0,21.0,6.0,12.0,1.0,0.0,1.0,0.0,366.0,0.17391304347826086,1.0
84,1.0,2.0,13.0,14.833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0
86,1.0,2.0,188.0,117.16577540106952,7.0,9.0,59.0,54.0,3.0,17.0,5.0,1.0,1.0,364.0,0.015957446808510637,0.0
87,0.0,3.0,13.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0
88,0.0,3.0,91.0,162.06666666666666,5.0,5.0,27.0,25.0,2.0,5.0,2.0,1.0,1.0,381.0,0.02197802197802198,0.0
89,0.0,3.0,34.0,120.12121212121212,2.0,2.0,6.0,3.0,3.0,1.0,0.0,1.0,1.0,365.0,0.08823529411764706,1.0
90,0.0,3.0,13.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0
91,0.0,3.0,13.0,20.083333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0
92,0.0,3.0,47.0,230.06521739130434,4.0,4.0,11.0,3.0,6.0,1.0,0.0,1.0,0.0,362.0,0.1276595744680851,1.0
93,0.0,3.0,71.0,127.14285714285714,3.0,3.0,21.0,16.0,5.0,5.0,1.0,1.0,0.0,383.0,0.07042253521126761,0.0
94,0.0,3.0,13.0,18.416666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0
95,0.0,3.0,113.0,186.35714285714286,6.0,6.0,38.0,14.0,23.0,2.0,4.0,1.0,0.0,393.0,0.20353982300884957,1.0
96,0.0,3.0,71.0,152.21428571428572,4.0,4.0,17.0,14.0,2.0,6.0,2.0,1.0,1.0,347.0,0.028169014084507043,0.0
97,1.0,2.0,13.0,19.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0
98,1.0,2.0,67.0,176.34848484848484,4.0,4.0,19.0,10.0,8.0,2.0,2.0,1.0,0.0,358.0,0.11940298507462686,1.0
100,1.0,2.0,13.0,18.916666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0
101,0.0,3.0,13.0,20.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0
102,0.0,3.0,69.0,121.05882352941177,3.0,4.0,15.0,12.0,3.0,7.0,1.0,1.0,1.0,380.0,0.043478260869565216,0.0
103,0.0,3.0,13.0,19.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0
104,0.0,3.0,93.0,166.25,5.0,5.0,25.0,23.0,2.0,10.0,3.0,1.0,1.0,350.0,0.021505376344086023,0.0
105,1.0,2.0,81.0,228.4125,6.0,6.0,22.0,13.0,7.0,3.0,4.0,1.0,0.0,325.0,0.08641975308641975,1.0
106,1.0,2.0,13.0,16.416666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0
107,0.0,3.0,54.0,155.11320754716982,3.0,3.0,13.0,9.0,4.0,1.0,3.0,1.0,1.0,410.0,0.07407407407407407,1.0
