user_id,onboarding_skips,quiz_answers,total_events,avg_event_interval_sec,chat_opens,chat_views,messages_sent,messages_received,answer_errors,likes,dislikes,successful_purchase,model_changes,time_to_first_message_sec,error_rate,is_churned,user_goals,user_interests,user_assistance
1,0.0,3.0,60.0,211.57627118644066,4.0,4.0,15.0,8.0,7.0,1.0,3.0,1.0,0.0,343.0,0.4666666666666667,1.0,social-media,"cooking, diy, history, music",step-by-step
2,0.0,3.0,40.0,178.87179487179486,3.0,3.0,8.0,4.0,4.0,0.0,1.0,1.0,0.0,372.0,0.5,1.0,"coding-assistance, content-creation","arts, cooking, reading",step-by-step
3,2.0,2.0,73.0,109.19444444444444,3.0,3.0,20.0,18.0,1.0,6.0,3.0,1.0,1.0,380.0,0.05,0.0,"business-purposes, coding-assistance, cooking, mental-health",,step-by-step
4,0.0,3.0,235.0,262.64957264957263,17.0,17.0,83.0,30.0,45.0,3.0,10.0,1.0,0.0,365.0,0.5421686746987951,1.0,"coding-assistance, education, mental-health",business,step-by-step
5,0.0,3.0,13.0,18.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,"coding-assistance, social-media",reading,detailed-explanation
6,0.0,3.0,48.0,141.9787234042553,3.0,3.0,9.0,8.0,1.0,3.0,0.0,1.0,1.0,401.0,0.1111111111111111,1.0,"business-purposes, education, essay-writing","dance, diy, learning, music, travel",step-by-step
7,0.0,3.0,64.0,192.03174603174602,4.0,4.0,16.0,14.0,1.0,5.0,1.0,1.0,1.0,329.0,0.0625,0.0,"business-purposes, coding-assistance, content-creation, essay-writing","cooking, fashion, reading, sports, travel",step-by-step
8,0.0,3.0,139.0,171.54347826086956,7.0,8.0,41.0,33.0,7.0,6.0,13.0,1.0,0.0,336.0,0.17073170731707318,0.0,"business-purposes, education, entertainment","arts, gardening, movies, music",step-by-step
9,0.0,3.0,100.0,231.02020202020202,7.0,7.0,31.0,18.0,12.0,2.0,1.0,1.0,1.0,362.0,0.3870967741935484,1.0,"business-purposes, cooking","business, reading",answer-with-explanation
10,1.0,2.0,43.0,183.54761904761904,3.0,3.0,11.0,2.0,7.0,0.0,0.0,1.0,0.0,367.0,0.6363636363636364,1.0,"coding-assistance, entertainment, essay-writing",,step-by-step
11,0.0,3.0,13.0,18.833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,"business-purposes, social-media","arts, learning, writing",detailed-explanation
12,0.0,3.0,52.0,156.98039215686273,3.0,3.0,14.0,6.0,7.0,1.0,0.0,1.0,1.0,358.0,0.5,1.0,"business-purposes, content-creation, mental-health","animals, business, dance, family, reading",detailed-explanation
14,0.0,3.0,13.0,20.916666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,"business-purposes, coding-assistance, content-creation, essay-writing","animals, cooking, family, learning, writing",answer-with-explanation
15,0.0,3.0,47.0,162.67391304347825,3.0,3.0,8.0,8.0,0.0,4.0,3.0,1.0,1.0,323.0,0.0,0.0,"business-purposes, mental-health","animals, writing",step-by-step
16,0.0,3.0,37.0,124.61111111111111,2.0,2.0,7.0,6.0,1.0,0.0,3.0,1.0,0.0,413.0,0.14285714285714285,1.0,"business-purposes, social-media","animals, learning, movies, reading",step-by-step
17,0.0,3.0,13.0,18.583333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,"business-purposes, entertainment","cooking, history, learning, movies",step-by-step
18,0.0,3.0,116.0,222.2086956521739,8.0,8.0,33.0,30.0,2.0,10.0,2.0,1.0,1.0,359.0,0.06060606060606061,0.0,"business-purposes, coding-assistance, essay-writing, mental-health","cooking, diy, history, learning, technology",step-by-step
19,1.0,2.0,200.0,205.96984924623115,12.0,12.0,61.0,50.0,9.0,14.0,16.0,1.0,0.0,369.0,0.14754098360655737,0.0,"coding-assistance, content-creation, social-media",,step-by-step
20,0.0,3.0,40.0,98.56410256410257,2.0,2.0,9.0,9.0,0.0,1.0,0.0,1.0,1.0,337.0,0.0,0.0,"coding-assistance, content-creation","fashion, learning, travel",step-by-step
22,0.0,3.0,46.0,100.62222222222222,2.0,2.0,10.0,6.0,4.0,3.0,2.0,1.0,1.0,336.0,0.4,1.0,"business-purposes, content-creation","arts, diy, fashion, gardening, outdoor",step-by-step
24,0.0,3.0,13.0,19.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,"business-purposes, education, essay-writing","animals, arts, cooking, family, travel",step-by-step
25,0.0,3.0,268.0,173.7078651685393,13.0,15.0,84.0,64.0,14.0,16.0,20.0,1.0,0.0,355.0,0.16666666666666666,0.0,"coding-assistance, education","diy, outdoor, technology, travel",step-by-step
26,1.0,2.0,39.0,107.97368421052632,2.0,2.0,8.0,4.0,4.0,0.0,2.0,1.0,1.0,398.0,0.5,1.0,,"arts, diy, family, learning, reading",step-by-step
27,1.0,2.0,70.0,208.63768115942028,5.0,5.0,19.0,11.0,7.0,2.0,1.0,1.0,1.0,343.0,0.3684210526315789,1.0,"business-purposes, coding-assistance, education, mental-health",,answer-with-explanation
28,0.0,3.0,87.0,178.7325581395349,5.0,5.0,28.0,9.0,18.0,1.0,2.0,1.0,0.0,329.0,0.6428571428571429,1.0,"business-purposes, education","animals, diy, family, learning, sports",step-by-step
29,0.0,3.0,63.0,186.88709677419354,4.0,4.0,19.0,6.0,10.0,0.0,2.0,1.0,0.0,343.0,0.5263157894736842,1.0,"business-purposes, social-media","arts, cooking, fashion",step-by-step
30,0.0,3.0,13.0,19.416666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,mental-health,"cooking, travel",direct-answer
31,0.0,3.0,53.0,214.55769230769232,4.0,4.0,14.0,3.0,9.0,1.0,0.0,1.0,0.0,377.0,0.6428571428571429,1.0,"business-purposes, coding-assistance, cooking, education","arts, history, outdoor, travel",step-by-step
32,0.0,3.0,89.0,243.29545454545453,7.0,7.0,26.0,14.0,10.0,2.0,1.0,1.0,1.0,343.0,0.38461538461538464,1.0,"business-purposes, coding-assistance, cooking, mental-health","business, diy, gardening, history, learning",direct-answer
33,0.0,3.0,13.0,18.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,"coding-assistance, content-creation, essay-writing","cooking, music",detailed-explanation
34,0.0,3.0,13.0,21.416666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,"coding-assistance, content-creation, education","business, diy, fashion",answer-with-explanation
35,0.0,3.0,53.0,153.26923076923077,3.0,3.0,14.0,9.0,4.0,2.0,0.0,1.0,1.0,363.0,0.2857142857142857,1.0,education,"fashion, movies, reading",answer-with-explanation
36,0.0,3.0,44.0,188.37209302325581,3.0,3.0,10.0,5.0,4.0,2.0,0.0,1.0,0.0,347.0,0.4,1.0,"coding-assistance, entertainment",arts,detailed-explanation
37,0.0,3.0,60.0,144.15254237288136,3.0,3.0,17.0,11.0,6.0,1.0,2.0,1.0,0.0,380.0,0.35294117647058826,1.0,"coding-assistance, essay-writing",fashion,step-by-step
38,1.0,2.0,107.0,189.08490566037736,6.0,6.0,30.0,21.0,6.0,6.0,6.0,1.0,0.0,373.0,0.2,0.0,"business-purposes, coding-assistance, education, mental-health",,detailed-explanation
39,0.0,3.0,93.0,249.27173913043478,7.0,7.0,25.0,15.0,10.0,4.0,4.0,1.0,0.0,380.0,0.4,1.0,"coding-assistance, content-creation","diy, family, learning, outdoor, technology",answer-with-explanation
40,0.0,3.0,71.0,273.4428571428571,6.0,6.0,18.0,7.0,10.0,1.0,3.0,1.0,0.0,384.0,0.5555555555555556,1.0,"coding-assistance, social-media","animals, arts",detailed-explanation
42,0.0,3.0,13.0,22.583333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,"coding-assistance, content-creation, education","arts, cooking, outdoor",step-by-step
43,0.0,3.0,48.0,168.29787234042553,3.0,3.0,12.0,4.0,8.0,1.0,0.0,1.0,0.0,393.0,0.6666666666666666,1.0,"coding-assistance, education, mental-health","animals, fashion, movies, travel",step-by-step
44,1.0,2.0,54.0,146.03773584905662,3.0,3.0,14.0,8.0,5.0,3.0,0.0,1.0,1.0,327.0,0.35714285714285715,1.0,"coding-assistance, content-creation",,step-by-step
46,0.0,3.0,72.0,161.11267605633802,4.0,4.0,19.0,17.0,1.0,8.0,0.0,1.0,1.0,387.0,0.05263157894736842,0.0,"business-purposes, coding-assistance, cooking, social-media","arts, learning, music, travel",detailed-explanation
47,0.0,3.0,63.0,194.33870967741936,4.0,4.0,19.0,3.0,13.0,1.0,1.0,1.0,0.0,370.0,0.6842105263157895,1.0,"business-purposes, coding-assistance, essay-writing, social-media",history,step-by-step
48,0.0,3.0,118.0,191.22222222222223,7.0,7.0,37.0,23.0,14.0,4.0,4.0,1.0,1.0,383.0,0.3783783783783784,1.0,"business-purposes, coding-assistance, content-creation, education","arts, travel",step-by-step
49,0.0,3.0,13.0,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,"business-purposes, education",history,answer-with-explanation
50,0.0,3.0,13.0,20.166666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,"coding-assistance, content-creation","animals, business, outdoor",step-by-step
51,0.0,3.0,41.0,112.725,2.0,2.0,9.0,7.0,1.0,1.0,3.0,1.0,0.0,359.0,0.1111111111111111,0.0,"coding-assistance, mental-health","business, history, movies",step-by-step
52,0.0,3.0,52.0,211.49019607843138,4.0,4.0,12.0,7.0,3.0,2.0,1.0,1.0,1.0,391.0,0.25,1.0,"coding-assistance, education, entertainment","arts, diy, family, learning, outdoor",detailed-explanation
53,0.0,3.0,24.0,24.52173913043478,1.0,1.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,383.0,0.0,0.0,"coding-assistance, cooking, essay-writing","business, gardening, music, outdoor, technology",simplified-explanation
54,2.0,1.0,13.0,20.083333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,"coding-assistance, education, essay-writing",,
55,0.0,3.0,85.0,212.88095238095238,6.0,6.0,24.0,17.0,6.0,3.0,2.0,1.0,1.0,376.0,0.25,1.0,"business-purposes, coding-assistance, content-creation, social-media","animals, sports",answer-with-explanation
56,0.0,3.0,75.0,126.67567567567568,3.0,4.0,20.0,13.0,7.0,2.0,6.0,1.0,0.0,394.0,0.35,0.0,"coding-assistance, entertainment, social-media",music,step-by-step
57,1.0,2.0,70.0,113.46376811594203,3.0,3.0,20.0,17.0,3.0,5.0,1.0,1.0,1.0,380.0,0.15,0.0,,"animals, history",step-by-step
58,0.0,3.0,49.0,170.3125,3.0,3.0,12.0,4.0,6.0,1.0,3.0,1.0,0.0,357.0,0.5,1.0,"coding-assistance, entertainment","business, cooking, history, music, outdoor",step-by-step
60,0.0,3.0,158.0,211.15923566878982,10.0,10.0,45.0,41.0,3.0,20.0,4.0,1.0,1.0,377.0,0.06666666666666667,0.0,"business-purposes, coding-assistance, cooking, essay-writing",animals,step-by-step
61,0.0,3.0,45.0,109.27272727272727,2.0,2.0,11.0,8.0,3.0,0.0,3.0,1.0,0.0,380.0,0.2727272727272727,0.0,"business-purposes, coding-assistance, essay-writing, mental-health",learning,detailed-explanation
62,0.0,3.0,29.0,27.142857142857142,1.0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,0.0,359.0,0.2,0.0,"business-purposes, content-creation","animals, diy",answer-with-explanation
63,0.0,3.0,119.0,205.71186440677965,7.0,8.0,33.0,24.0,6.0,5.0,9.0,1.0,0.0,339.0,0.18181818181818182,0.0,"business-purposes, entertainment","animals, arts, learning, reading, sports",step-by-step
64,0.0,3.0,54.0,211.35849056603774,4.0,4.0,13.0,6.0,6.0,1.0,1.0,1.0,1.0,306.0,0.46153846153846156,1.0,"coding-assistance, mental-health","business, cooking, diy",detailed-explanation
66,0.0,3.0,59.0,247.93103448275863,5.0,5.0,15.0,6.0,7.0,0.0,2.0,1.0,0.0,347.0,0.4666666666666667,1.0,"coding-assistance, content-creation","animals, cooking, family, reading",detailed-explanation
67,0.0,3.0,98.0,117.38144329896907,4.0,5.0,30.0,25.0,2.0,8.0,2.0,1.0,1.0,327.0,0.06666666666666667,0.0,"business-purposes, coding-assistance, cooking, education","learning, movies, technology",step-by-step
68,0.0,3.0,76.0,238.86666666666667,6.0,6.0,21.0,10.0,9.0,0.0,4.0,1.0,0.0,386.0,0.42857142857142855,1.0,"coding-assistance, entertainment","arts, dance, outdoor",step-by-step
69,0.0,3.0,13.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,"business-purposes, coding-assistance, entertainment, essay-writing","cooking, diy, history, music",step-by-step
70,0.0,3.0,13.0,17.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,content-creation,"cooking, diy, reading",step-by-step
71,0.0,3.0,76.0,194.89333333333335,5.0,5.0,22.0,11.0,11.0,1.0,1.0,1.0,1.0,394.0,0.5,1.0,"business-purposes, coding-assistance, education, entertainment","arts, learning, music",detailed-explanation
72,1.0,2.0,13.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,"business-purposes, education",,answer-with-explanation
76,1.0,2.0,13.0,19.833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,,"animals, arts, diy, fashion",step-by-step
77,0.0,3.0,78.0,190.88311688311688,5.0,5.0,21.0,14.0,7.0,3.0,3.0,1.0,1.0,377.0,0.3333333333333333,1.0,"business-purposes, coding-assistance, entertainment, essay-writing",history,step-by-step
78,0.0,3.0,34.0,112.18181818181819,2.0,2.0,6.0,3.0,3.0,0.0,2.0,1.0,0.0,346.0,0.5,1.0,"coding-assistance, content-creation, essay-writing",history,answer-with-explanation
79,2.0,1.0,13.0,13.083333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,"business-purposes, coding-assistance, essay-writing, mental-health",,
80,0.0,3.0,50.0,167.69387755102042,3.0,3.0,13.0,3.0,9.0,1.0,1.0,1.0,0.0,408.0,0.6923076923076923,1.0,"business-purposes, coding-assistance, education, mental-health","business, dance, history, learning, travel",direct-answer
82,0.0,3.0,53.0,189.40384615384616,4.0,4.0,12.0,8.0,4.0,2.0,0.0,1.0,1.0,363.0,0.3333333333333333,1.0,"business-purposes, content-creation","cooking, learning, outdoor, writing",step-by-step
83,0.0,3.0,69.0,212.0735294117647,5.0,5.0,21.0,6.0,12.0,1.0,0.0,1.0,0.0,366.0,0.5714285714285714,1.0,"business-purposes, content-creation","arts, family, movies, outdoor, reading",answer-with-explanation
84,1.0,2.0,13.0,14.833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,"coding-assistance, cooking, social-media",,answer-with-explanation
86,1.0,2.0,188.0,117.16577540106952,7.0,9.0,59.0,54.0,3.0,17.0,5.0,1.0,1.0,364.0,0.05084745762711865,0.0,"coding-assistance, entertainment",,detailed-explanation
87,0.0,3.0,13.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,mental-health,"animals, arts, music",answer-with-explanation
