user_id,onboarding_skips,quiz_answers,total_events,avg_event_interval_sec,chat_opens,chat_views,messages_sent,messages_received,answer_errors,likes,dislikes,successful_purchase,model_changes,time_to_first_event_sec,time_to_first_message_sec,error_rate,is_churned,cluster,pca1,pca2
1,0.0,3.0,60.0,211.57627118644064,4.0,4.0,15.0,8.0,7.0,1.0,3.0,1.0,0.0,0.0,343.0,0.1166666666666666,1.0,2,0.7581780376003258,1.419454552707409
2,0.0,3.0,40.0,178.87179487179486,3.0,3.0,8.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0,372.0,0.1,1.0,2,-0.5375167705698003,1.2966311021011978
3,2.0,2.0,73.0,109.19444444444444,3.0,3.0,20.0,18.0,1.0,6.0,3.0,1.0,1.0,0.0,380.0,0.0136986301369863,0.0,8,0.46308129338290455,-2.9999284928191083
4,0.0,3.0,235.0,262.64957264957263,17.0,17.0,83.0,30.0,45.0,3.0,10.0,1.0,0.0,0.0,365.0,0.1914893617021276,1.0,7,11.042931504109246,3.5015043572049467
5,0.0,3.0,13.0,18.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,3,-3.639299783049937,-0.6257877843158114
6,0.0,3.0,48.0,141.9787234042553,3.0,3.0,9.0,8.0,1.0,3.0,0.0,1.0,1.0,0.0,401.0,0.0208333333333333,1.0,0,-0.444866320896347,-0.8351494099233046
7,0.0,3.0,64.0,192.031746031746,4.0,4.0,16.0,14.0,1.0,5.0,1.0,1.0,1.0,0.0,329.0,0.015625,0.0,0,0.6920482252906087,-1.2264808974189532
8,0.0,3.0,139.0,171.54347826086956,7.0,8.0,41.0,33.0,7.0,6.0,13.0,1.0,0.0,0.0,336.0,0.0503597122302158,0.0,5,4.710120609255859,-1.280023024364252
9,0.0,3.0,100.0,231.020202020202,7.0,7.0,31.0,18.0,12.0,2.0,1.0,1.0,1.0,0.0,362.0,0.12,1.0,4,3.0448784057841736,0.7540673875511205
10,1.0,2.0,43.0,183.54761904761904,3.0,3.0,11.0,2.0,7.0,0.0,0.0,1.0,0.0,0.0,367.0,0.1627906976744186,1.0,8,-0.41052765875445874,1.4227157551341216
11,0.0,3.0,13.0,18.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,3,-3.6387134410602218,-0.6252394554988299
12,0.0,3.0,52.0,156.9803921568627,3.0,3.0,14.0,6.0,7.0,1.0,0.0,1.0,1.0,0.0,358.0,0.1346153846153846,1.0,0,0.20137930636394916,0.9459818159011288
14,0.0,3.0,13.0,20.916666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,3,-3.6313841661887762,-0.6183853452865601
15,0.0,3.0,47.0,162.67391304347825,3.0,3.0,8.0,8.0,0.0,4.0,3.0,1.0,1.0,0.0,323.0,0.0,0.0,0,-0.15320062373042848,-1.2212779793821584
