title,url,published_at,video_id
Down Unda by Danzmen + 1 coin [Easy Demon],https://youtu.be/UaJTbQGrE44,2024-01-19T11:43:07Z,UaJTbQGrE44
Geometry Dash 2.2 - The Secret Hollow (3 coins),https://youtu.be/WaPdd0Mh1Hc,2024-01-19T11:14:40Z,WaPdd0Mh1Hc
Geometry Dash 2.2 - The Cellar (3 coins),https://youtu.be/D8en15HBu3s,2024-01-06T13:54:10Z,D8en15HBu3s
Geometry Dash 2.2 - The Sewers (3 coins),https://youtu.be/gi0ajg0ZvBU,2024-01-03T11:04:05Z,gi0ajg0ZvBU
Geometry Dash 2.2 -The Tower (3 coins),https://youtu.be/whw0zD8VHok,2024-01-01T15:41:33Z,whw0zD8VHok
2.2 Is Finally Here! Dash 100% + 3 coins,https://youtu.be/4iR-Wu_U7Uw,2023-12-20T19:41:48Z,4iR-Wu_U7Uw
[Mob. Tournament] New Beginning by + 1 coin [Easy Demon],https://youtu.be/Hq0PGqoS3E0,2023-07-21T14:03:31Z,Hq0PGqoS3E0
iSpyWithMyLittleEye by Voxicat [Easy Demon],https://youtu.be/td2kNQuymF0,2023-05-07T19:26:46Z,td2kNQuymF0
100 Miles and Runnin by Umbraleviathan + 3 coins [Easy Demon],https://youtu.be/s30uE6sHmPE,2023-04-16T18:21:08Z,s30uE6sHmPE
A Final Memorial by ItzKiba [Easy Demon],https://youtu.be/kfNdCrQIiDE,2023-04-09T14:31:30Z,kfNdCrQIiDE
AI TECHno by Maxie25 + 3 coins [Easy Demon],https://youtu.be/uctIkbFGKQs,2023-04-09T14:27:14Z,uctIkbFGKQs
weird hell by IpuNne0 [Easy Demon],https://youtu.be/LB4lFEqKGbo,2023-04-02T19:12:06Z,LB4lFEqKGbo
Bwomp Processing by EnenzoGD [Easy Demon],https://youtu.be/88CNjwUvZLo,2023-03-19T19:29:00Z,88CNjwUvZLo
VOICE by LiteN1ng + 1 coin [Easy Demon],https://youtu.be/7MlhhQQl3SY,2023-03-05T18:19:44Z,7MlhhQQl3SY
Neo by connot + 3 coins [Easy Demon],https://youtu.be/NIQouLWNaM0,2023-03-05T18:07:52Z,NIQouLWNaM0
Magmaniac by Whirl [Easy Demon],https://youtu.be/J-72yjlRQMA,2023-02-13T15:11:51Z,J-72yjlRQMA
Broken Roulette by NoFlix [Easy Demon],https://youtu.be/gMzv_OgSeTw,2023-02-12T17:59:48Z,gMzv_OgSeTw
Cant Let vulc by vulcanium4 [Medium Demon],https://youtu.be/nZKnPoz3bYo,2023-02-12T17:48:31Z,nZKnPoz3bYo
(Patched) Sepiral by GlintZ [Secret Way Demon],https://youtu.be/cZzRhNDJjMc,2023-02-02T06:13:31Z,cZzRhNDJjMc
THE HILLS HAVE EYES by overdefo [Easy Demon],https://youtu.be/Tr6zJSbZ-o0,2023-01-27T14:28:04Z,Tr6zJSbZ-o0
Cosmic Rush by 0xNano [Easy Demon],https://youtu.be/EANEXDVg4xI,2023-01-17T15:15:52Z,EANEXDVg4xI
Cybersphere by Atlex + 3 coins [Easy Demon],https://youtu.be/2KSCXnce3xA,2023-01-09T12:07:32Z,2KSCXnce3xA
Quazillion by Kazey + 1 coin [Easy Demon],https://youtu.be/RThXj8ztp64,2023-01-09T11:54:02Z,RThXj8ztp64
kr1tmas by SpKale + 3 coins [Easy Demon],https://youtu.be/7CnUucAgxlE,2023-01-08T21:05:06Z,7CnUucAgxlE
FOUR WHEEL DRIVE by Split72 [Easy Demon],https://youtu.be/yMfXmz3TM5Y,2023-01-01T14:49:39Z,yMfXmz3TM5Y
Toxicity by Azuvy + 3 coins [Easy Demon],https://youtu.be/P7YnXfhcFXE,2022-12-31T17:50:43Z,P7YnXfhcFXE
Silhouette Summit by Nicki1202 + 2 coins [Easy Demon],https://youtu.be/Bdh2WsbTPYg,2022-12-31T17:44:14Z,Bdh2WsbTPYg
850 by OzzeL2 +3 coins [Easy Demon],https://youtu.be/-AuBdBL7Xx4,2022-12-31T17:30:01Z,-AuBdBL7Xx4
Afterparty by AleXins [Easy Demon],https://youtu.be/I0-TjgHH1co,2022-12-31T17:22:49Z,I0-TjgHH1co
Krakens Curse by FrostDragonGD [Medium Demon],https://youtu.be/CLqL-xwvQus,2022-12-31T17:14:00Z,CLqL-xwvQus
Synthstep by GlintZ + 3 coins [Easy Demon],https://youtu.be/eJ4B_GDOSJ4,2022-12-31T16:17:28Z,eJ4B_GDOSJ4
Contra by AirForce [Easy Demon],https://youtu.be/u6M6A_9Da3I,2022-12-31T16:04:43Z,u6M6A_9Da3I
BuriaL TombS by JHYMHMHY [Easy Demon],https://youtu.be/W5JMhAFMgKw,2022-12-31T15:52:03Z,W5JMhAFMgKw
Descent by MaxK [Easy Demon],https://youtu.be/avb4MAZ4UjY,2022-10-30T19:37:53Z,avb4MAZ4UjY
RADIUM by JerkRat [Medium Demon],https://youtu.be/lYjsxDpzOvQ,2022-10-30T19:30:39Z,lYjsxDpzOvQ
SUPERCHARGE by Elvii [Swag Demon],https://youtu.be/rMldrObztow,2022-10-27T20:23:20Z,rMldrObztow
Thumper by Nico99 + 3 coins [Easy Demon],https://youtu.be/spNAgoi1HRc,2022-10-23T16:02:28Z,spNAgoi1HRc
Mil Noches by Nikce [Easy Demon],https://youtu.be/5LJ_2LNFNbg,2022-10-16T19:00:50Z,5LJ_2LNFNbg
[20k stars!] Shocked by Jezzel [Easy Demon],https://youtu.be/pJ6Kf4wSGfU,2022-10-09T15:11:08Z,pJ6Kf4wSGfU
